[2020-01-31 10:08:41] Linux 4.15.0-72-generic (node0.sharedlan.wall2-ilabt-iminds-be.wall1.ilabt.iminds.be) 	01/31/20 	_x86_64_	(16 CPU)
[2020-01-31 10:08:42] 
[2020-01-31 10:08:42] 10:08:41      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
[2020-01-31 10:12:37] 10:12:37    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:12:38] 10:12:38    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:12:39] 10:12:39    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:12:40] 10:12:40    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:12:41] 10:12:41    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:12:42] 10:12:42    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:12:43] 10:12:43    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:12:44] 10:12:44    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:12:45] 10:12:45    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:12:46] 10:12:46    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:12:47] 10:12:47    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:12:48] 10:12:48    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:12:49] 10:12:49    20001      3775   29.00    0.00    0.00    0.00   29.00    12  qrail-cli
[2020-01-31 10:12:50] 10:12:50    20001      3775   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-31 10:12:51] 10:12:51    20001      3775  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-31 10:12:52] 10:12:52    20001      3775  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-31 10:12:53] 10:12:53    20001      3775   98.00    2.00    0.00    0.00  100.00    14  qrail-cli
[2020-01-31 10:12:54] 10:12:54    20001      3775  100.00    0.00    0.00    0.00  100.00    14  qrail-cli
[2020-01-31 10:12:55] 10:12:55    20001      3775   71.00    1.00    0.00    0.00   72.00    14  qrail-cli
[2020-01-31 10:12:56] 10:12:56    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:12:57] 10:12:57    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:12:58] 10:12:58    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:12:59] 10:12:59    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:00] 10:13:00    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:01] 10:13:01    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:02] 10:13:02    20001      3775    1.00    0.00    0.00    0.00    1.00    14  qrail-cli
[2020-01-31 10:13:03] 10:13:03    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:04] 10:13:04    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:05] 10:13:05    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:06] 10:13:06    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:07] 10:13:07    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:08] 10:13:08    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:09] 10:13:09    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:10] 10:13:10    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:11] 10:13:11    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:12] 10:13:12    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:13] 10:13:13    20001      3775   98.00    1.00    0.00    0.00   99.00    14  qrail-cli
[2020-01-31 10:13:14] 10:13:14    20001      3775   99.00    0.00    0.00    0.00   99.00    14  qrail-cli
[2020-01-31 10:13:15] 10:13:15    20001      3775   99.00    1.00    0.00    0.00  100.00    14  qrail-cli
[2020-01-31 10:13:16] 10:13:16    20001      3775   99.00    1.00    0.00    0.00  100.00    14  qrail-cli
[2020-01-31 10:13:17] 10:13:17    20001      3775   99.00    2.00    0.00    0.00  100.00    14  qrail-cli
[2020-01-31 10:13:18] 10:13:18    20001      3775   98.00    1.00    0.00    0.00   99.00    14  qrail-cli
[2020-01-31 10:13:19] 10:13:19    20001      3775   10.00    0.00    0.00    0.00   10.00    14  qrail-cli
[2020-01-31 10:13:20] 10:13:20    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:21] 10:13:21    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:22] 10:13:22    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:23] 10:13:23    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:24] 10:13:24    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:25] 10:13:25    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:26] 10:13:26    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:27] 10:13:27    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:28] 10:13:28    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:29] 10:13:29    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:30] 10:13:30    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:31] 10:13:31    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:32] 10:13:32    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:33] 10:13:33    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:34] 10:13:34    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:35] 10:13:35    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:36] 10:13:36    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:37] 10:13:37    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:38] 10:13:38    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:39] 10:13:39    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:40] 10:13:40    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:41] 10:13:41    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:42] 10:13:42    20001      3775    0.00    1.00    0.00    0.00    1.00    14  qrail-cli
[2020-01-31 10:13:43] 10:13:43    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:44] 10:13:44    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:45] 10:13:45    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:46] 10:13:46    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:47] 10:13:47    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:48] 10:13:48    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:49] 10:13:49    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:50] 10:13:50    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:51] 10:13:51    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:52] 10:13:52    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:53] 10:13:53    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:54] 10:13:54    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:55] 10:13:55    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:56] 10:13:56    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:57] 10:13:57    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:58] 10:13:58    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:13:59] 10:13:59    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:00] 10:14:00    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:01] 10:14:01    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:02] 10:14:02    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:03] 10:14:03    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:04] 10:14:04    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:05] 10:14:05    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:06] 10:14:06    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:07] 10:14:07    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:08] 10:14:08    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:09] 10:14:09    20001      3775   17.00    0.00    0.00    0.00   17.00    14  qrail-cli
[2020-01-31 10:14:10] 10:14:10    20001      3775   98.00    2.00    0.00    1.00  100.00    14  qrail-cli
[2020-01-31 10:14:11] 10:14:11    20001      3775   99.00    1.00    0.00    0.00  100.00    14  qrail-cli
[2020-01-31 10:14:12] 10:14:12    20001      3775   98.00    1.00    0.00    0.00   99.00    14  qrail-cli
[2020-01-31 10:14:13] 10:14:13    20001      3775   25.00    1.00    0.00    0.00   26.00    14  qrail-cli
[2020-01-31 10:14:14] 10:14:14    20001      3775   99.00    1.00    0.00    0.00  100.00    14  qrail-cli
[2020-01-31 10:14:15] 10:14:15    20001      3775   99.00    0.00    0.00    0.00   99.00    14  qrail-cli
[2020-01-31 10:14:16] 10:14:16    20001      3775   72.00    1.00    0.00    0.00   73.00    14  qrail-cli
[2020-01-31 10:14:17] 10:14:17    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:18] 10:14:18    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:19] 10:14:19    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:20] 10:14:20    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:21] 10:14:21    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:22] 10:14:22    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:23] 10:14:23    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:24] 10:14:24    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:25] 10:14:25    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:26] 10:14:26    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:27] 10:14:27    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:28] 10:14:28    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:29] 10:14:29    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:30] 10:14:30    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:31] 10:14:31    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:32] 10:14:32    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:33] 10:14:33    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:34] 10:14:34    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:35] 10:14:35    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:36] 10:14:36    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:37] 10:14:37    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:38] 10:14:38    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:39] 10:14:39    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:40] 10:14:40    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:41] 10:14:41    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:42] 10:14:42    20001      3775    0.00    0.00    0.00    0.00    0.00    14  qrail-cli
[2020-01-31 10:14:43] 10:14:43    20001      3775   99.00    1.00    0.00    0.00  100.00    14  qrail-cli
[2020-01-31 10:14:44] 10:14:44    20001      3775   98.00    2.00    0.00    0.00  100.00    14  qrail-cli
[2020-01-31 10:14:45] 10:14:45    20001      3775   99.00    0.00    0.00    0.00   99.00    14  qrail-cli
[2020-01-31 10:14:46] 10:14:46    20001      3775   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-31 10:14:47] 10:14:47    20001      3775   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-31 10:14:48] 10:14:48    20001      3775   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-31 10:14:49] 10:14:49    20001      3775   20.00    0.00    0.00    0.00   20.00    12  qrail-cli
[2020-01-31 10:14:50] 10:14:50    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:14:51] 10:14:51    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:14:52] 10:14:52    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:14:53] 10:14:53    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:14:54] 10:14:54    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:14:55] 10:14:55    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:14:56] 10:14:56    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:14:57] 10:14:57    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:14:58] 10:14:58    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:14:59] 10:14:59    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:00] 10:15:00    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:01] 10:15:01    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:02] 10:15:02    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:03] 10:15:03    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:04] 10:15:04    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:05] 10:15:05    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:06] 10:15:06    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:07] 10:15:07    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:08] 10:15:08    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:09] 10:15:09    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:10] 10:15:10    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:11] 10:15:11    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:12] 10:15:12    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:13] 10:15:13    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:14] 10:15:14    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:15] 10:15:15    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:16] 10:15:16    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:17] 10:15:17    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:18] 10:15:18    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:19] 10:15:19    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:20] 10:15:20    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:21] 10:15:21    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:22] 10:15:22    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:23] 10:15:23    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:24] 10:15:24    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:25] 10:15:25    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:26] 10:15:26    20001      3775   62.00    1.00    0.00    0.00   63.00    12  qrail-cli
[2020-01-31 10:15:27] 10:15:27    20001      3775   97.00    3.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-31 10:15:28] 10:15:28    20001      3775   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-31 10:15:29] 10:15:29    20001      3775  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-31 10:15:30] 10:15:30    20001      3775   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-31 10:15:31] 10:15:31    20001      3775   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-31 10:15:32] 10:15:32    20001      3775   61.00    0.00    0.00    0.00   61.00    12  qrail-cli
[2020-01-31 10:15:33] 10:15:33    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:34] 10:15:34    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:35] 10:15:35    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:36] 10:15:36    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:37] 10:15:37    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:38] 10:15:38    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:39] 10:15:39    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:40] 10:15:40    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:41] 10:15:41    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:42] 10:15:42    20001      3775    1.00    0.00    0.00    0.00    1.00    12  qrail-cli
[2020-01-31 10:15:43] 10:15:43    20001      3775   98.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-31 10:15:44] 10:15:44    20001      3775  100.00    0.00    0.00    1.00  100.00    12  qrail-cli
[2020-01-31 10:15:45] 10:15:45    20001      3775   98.00    1.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-31 10:15:46] 10:15:46    20001      3775  100.00    0.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-31 10:15:47] 10:15:47    20001      3775   99.00    2.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-31 10:15:48] 10:15:48    20001      3775   98.00    1.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-31 10:15:49] 10:15:49    20001      3775   28.00    0.00    0.00    0.00   28.00    12  qrail-cli
[2020-01-31 10:15:50] 10:15:50    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:51] 10:15:51    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:52] 10:15:52    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:53] 10:15:53    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:54] 10:15:54    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:55] 10:15:55    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:56] 10:15:56    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:57] 10:15:57    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:58] 10:15:58    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:15:59] 10:15:59    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:00] 10:16:00    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:01] 10:16:01    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:02] 10:16:02    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:03] 10:16:03    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:04] 10:16:04    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:05] 10:16:05    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:06] 10:16:06    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:07] 10:16:07    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:08] 10:16:08    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:09] 10:16:09    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:10] 10:16:10    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:11] 10:16:11    20001      3775    1.00    0.00    0.00    0.00    1.00    12  qrail-cli
[2020-01-31 10:16:12] 10:16:12    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:13] 10:16:13    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:14] 10:16:14    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:15] 10:16:15    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:16] 10:16:16    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:17] 10:16:17    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:18] 10:16:18    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:19] 10:16:19    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:20] 10:16:20    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:21] 10:16:21    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:22] 10:16:22    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:23] 10:16:23    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:24] 10:16:24    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:25] 10:16:25    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:26] 10:16:26    20001      3775   72.00    2.00    0.00    0.00   74.00    12  qrail-cli
[2020-01-31 10:16:27] 10:16:27    20001      3775   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-31 10:16:28] 10:16:28    20001      3775   98.00    1.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-31 10:16:29] 10:16:29    20001      3775   99.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-31 10:16:30] 10:16:30    20001      3775  100.00    1.00    0.00    0.00  100.00    12  qrail-cli
[2020-01-31 10:16:31] 10:16:31    20001      3775   99.00    0.00    0.00    0.00   99.00    12  qrail-cli
[2020-01-31 10:16:32] 10:16:32    20001      3775   60.00    1.00    0.00    0.00   61.00    12  qrail-cli
[2020-01-31 10:16:33] 10:16:33    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:34] 10:16:34    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:35] 10:16:35    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:36] 10:16:36    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:37] 10:16:37    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:38] 10:16:38    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:39] 10:16:39    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:40] 10:16:40    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:41] 10:16:41    20001      3775    0.00    0.00    0.00    0.00    0.00    12  qrail-cli
[2020-01-31 10:16:42] 10:16:42    20001      3775    1.00    0.00    0.00    0.00    1.00     3  qrail-cli
[2020-01-31 10:16:43] 10:16:43    20001      3775   96.00    3.00    0.00    0.00   99.00     4  qrail-cli
